,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
9967,8.27,1492.0,-0.1431,3.6,3.6,76.0,3.5
9968,6.89,7554.0,-0.0264,10.3,14.21544580709314,794.0,4.7
9969,13.79,3070.4877791356516,-0.0417,1.9,1.9,152.0,3.4
9970,6.89,5967.0,0.0049,10.3,10.3,762.0,4.3
9971,13.79,1370.0,-0.0576,7.7,7.7,457.0,3.0
9972,13.79,693.0,0.0145,8.589305208096429,14.21544580709314,457.0,2.1
9973,6.89,4787.0,-0.0289,10.3,10.3,762.0,5.9
9974,6.89,3070.4877791356516,0.0406,8.589305208096429,8.0,610.0,4.4
9975,3.45,3947.0,0.0861,10.3,10.3,762.0,4.6
9977,6.89,3070.4877791356516,0.1579,8.5,22.3,2743.0,2.9
9978,13.79,1682.0,-0.0298,7.7,7.7,457.0,4.5
9979,9.68,549.0,0.172,12.7,38.1,737.0,2.8
9980,13.79,1339.0,0.0334,5.7,5.7,625.0,2.1
9981,13.79,1397.0,-0.0232,8.589305208096429,4.7,318.0,2.9
9982,3.86,4123.0,0.0804,8.589305208096429,10.8,432.0,4.3
9984,0.1,2000.0,-0.0187,5.6,15.9,914.0,3.6
9985,8.27,2699.0,0.1601,8.589305208096429,9.5,1836.0,1.9
9986,10.635065510058652,3070.4877791356516,-0.0276,7.7,7.7,830.5649623727313,3.1
9987,6.89,3678.0,-0.0478,23.5,23.5,830.5649623727313,3.6
9989,13.79,7880.0,-0.0415,8.589305208096429,4.7,318.0,4.6
9990,13.79,705.0,-0.0438,8.589305208096429,7.7,830.5649623727313,2.0
9991,3.45,3070.4877791356516,0.0379,10.3,10.3,762.0,2.7
9993,10.34,6212.0,-0.0684,10.3,10.3,762.0,6.5
9994,9.68,5520.0,-0.0037,12.7,38.1,914.0,8.0
9995,10.34,4286.0,-0.118,10.3,10.3,762.0,3.1
9996,16.0,2658.0,0.08,10.0,10.0,830.5649623727313,1.8
9997,13.79,1641.0,-0.0858,4.7,4.7,830.5649623727313,2.2
9998,6.89,4069.0,0.0128,8.589305208096429,4.6,830.5649623727313,5.3
9999,6.89,1519.0,0.0886,8.589305208096429,42.3,2743.0,2.2
10000,13.79,1356.0,-0.0446,11.1,11.1,457.0,2.5
10001,0.51,1000.0,-0.0411,15.0,120.0,830.5649623727313,4.2
10002,13.79,1356.0,-0.1656,11.1,11.1,457.0,3.5
10003,10.635065510058652,3703.0,0.1856,5.6,5.6,432.0,4.3
10004,18.0,750.0,-0.1224,10.0,10.0,830.5649623727313,2.2
10005,10.34,6049.0,-0.0924,10.3,14.21544580709314,762.0,6.8
10006,11.03,1078.0,0.0498,11.5,11.5,565.0,1.0
10007,6.89,3070.4877791356516,-0.062,10.3,10.3,794.0,6.7
10009,11.03,3070.4877791356516,0.1628,5.0,13.3,2134.0,2.2
10010,6.89,6388.0,-0.0203,4.7,14.21544580709314,318.0,5.2
10011,10.635065510058652,5547.0,0.0108,12.7,38.1,830.5649623727313,2.5
10016,13.79,4882.0,-0.1146,4.7,14.21544580709314,318.0,4.8
10017,6.86,3784.0,0.0335,10.8,14.21544580709314,216.0,4.6
10018,9.68,2292.0,0.0197,12.7,42.3,1778.0,4.3
10019,13.79,705.0,0.0783,7.7,7.7,457.0,2.8
10021,13.79,759.0,0.1038,7.8,7.8,591.0,1.0
10022,10.635065510058652,2848.0,-0.1258,3.0,3.0,150.0,1.9
10023,13.79,1290.0,0.0628,7.7,7.7,457.0,1.9
10024,6.79,4048.0,0.19,10.8,10.8,830.5649623727313,2.0
10027,13.79,4964.0,-0.3273,8.589305208096429,4.7,318.0,9.5
10028,13.79,3070.4877791356516,-0.2252,7.7,7.7,457.0,3.2
10030,12.07,5615.0,-0.0202,1.9,1.9,152.0,8.6
10031,6.88,7514.0,-0.0058,37.5,37.5,1953.0,5.1
10034,10.0,1944.0,0.0753,10.0,10.0,400.0,4.5
10035,0.1,630.0,-0.0187,15.0,120.0,10.0,2.1
10036,6.89,2319.0,0.067,12.7,38.1,914.0,3.3
10037,13.79,3119.0,-0.073,1.9,1.9,152.0,5.5
10038,3.45,3070.4877791356516,0.1427,10.3,10.3,762.0,4.8
10039,3.45,3070.4877791356516,0.0129,10.8,10.8,864.0,4.4
10041,11.14,4069.0,0.0769,11.5,11.5,1524.0,3.0
10044,6.92,833.0,0.1064,12.7,38.1,830.5649623727313,3.1
10045,13.79,2693.0,-0.0135,5.0,13.3,2134.0,2.3
10046,13.79,1356.0,0.1113,5.6,15.2,830.5649623727313,1.9
10048,0.1,1277.0,-0.0434,15.0,14.21544580709314,10.0,5.0
10049,13.79,1836.0,0.0334,11.1,11.1,457.0,2.8
10052,8.27,4092.0,0.0433,9.5,9.5,1836.0,9.3
10054,11.07,4069.0,0.0141,8.589305208096429,11.5,830.5649623727313,2.9
10055,6.89,2495.0,-0.0204,8.0,8.0,610.0,5.8
10056,10.34,3070.4877791356516,-0.0512,10.3,10.3,762.0,4.0
10059,6.89,6049.0,-0.0008,10.3,10.3,830.5649623727313,6.4
10060,3.86,4.0,0.0902,10.8,10.8,432.0,4.5
10061,10.635065510058652,4055.0,0.0617,10.8,10.8,864.0,2.2
10062,13.79,1344.0,-0.0665,11.1,11.1,457.0,3.6
10063,13.79,3797.0,-0.4477,4.7,4.7,318.0,4.6
10068,3.45,3947.0,0.0102,10.3,10.3,762.0,4.7
10069,6.89,3947.0,0.0008,10.3,10.3,830.5649623727313,3.4
10071,0.1,1500.0,-0.0335,15.0,120.0,10.0,3.7
10072,13.79,925.0,-0.0071,7.7,7.7,457.0,4.1
10073,9.69,3070.4877791356516,-0.0404,6.4,15.9,914.0,6.8
10074,6.72,4042.0,-0.0015,10.8,10.8,432.0,4.9
10075,13.79,1063.0,-0.1261,4.7,4.7,318.0,8.0
10077,6.89,7554.0,-0.0373,8.589305208096429,14.21544580709314,762.0,3.5
10078,6.83,4069.0,-0.0666,10.8,10.8,432.0,4.9
10081,6.89,968.0,-0.0123,23.6,23.6,610.0,6.7
10084,6.89,5696.0,-0.0478,8.589305208096429,10.3,830.5649623727313,5.9
10086,13.79,4069.0,-0.0263,8.589305208096429,4.7,318.0,4.6
10087,6.9,553.0,0.0133,12.7,38.1,737.0,3.6
10088,6.98,2319.0,0.0896,12.7,38.1,914.0,3.7
10090,13.79,1063.0,0.0027,4.7,4.7,318.0,2.2
10092,15.51,2875.0,-0.0443,1.9,14.21544580709314,152.0,3.6
10093,11.03,2034.0,0.0884,8.589305208096429,11.5,914.0,1.7
10094,13.79,7107.0,-0.3206,4.7,4.7,318.0,4.1
10098,6.89,1519.0,-0.0042,12.7,42.3,1778.0,3.5
10099,13.79,833.0,-0.1224,3.0,3.0,35.0,3.2
10100,13.79,1980.0,0.0102,7.7,7.7,457.0,6.0
10103,3.45,3070.4877791356516,-0.0688,5.7,5.7,625.0,10.9
10104,15.51,3838.0,-0.0123,1.9,1.9,152.0,3.2
10107,13.79,1351.0,-0.1711,7.7,7.7,457.0,8.0
10108,11.03,1364.0,0.1031,5.6,15.2,2134.0,1.8
10109,15.51,3675.0,-0.0878,1.9,1.9,100.0,3.9
10113,13.79,751.0,0.072,7.8,7.8,591.0,2.9
10114,17.24,2089.0,-0.1339,1.9,1.9,696.0,12.7
10115,13.79,1339.0,-0.2389,11.1,11.1,457.0,3.5
10116,13.79,2862.0,0.1836,4.7,4.7,318.0,2.6
10117,3.86,3974.0,0.0115,10.8,10.8,864.0,2.8
10118,6.9,2010.0,0.19,10.8,10.8,841.0,2.0
10119,15.51,2710.0,-0.0431,5.6,15.2,2134.0,8.2
10120,13.79,705.0,0.0823,7.8,14.21544580709314,591.0,2.2
10121,10.0,1944.0,-0.0428,10.0,10.0,660.0,5.2
10122,6.85,1533.0,0.0404,8.589305208096429,22.3,2591.0,2.9
10123,16.0,5361.0,0.0103,10.0,14.21544580709314,1300.0,3.1
10125,10.635065510058652,2721.0,-0.0135,5.6,15.2,2134.0,2.5
10126,10.635065510058652,1462.0,0.0102,4.7,4.7,318.0,4.3
10127,18.27,2740.0,-0.0411,3.0,3.0,432.0,3.7
10129,6.89,4218.0,-0.0404,10.3,10.3,794.0,5.2
10131,13.79,1000.0,-0.1702,3.0,3.0,150.0,9.0
10133,10.635065510058652,3458.0,-0.1515,1.9,1.9,830.5649623727313,10.7
10134,13.79,1355.0,0.1378,9.5,9.5,1836.0,1.8
10136,6.86,4042.0,0.1423,10.8,14.21544580709314,1727.0,2.9
10137,6.79,4069.0,0.0005,10.8,14.21544580709314,432.0,4.9
10138,13.79,2760.0,0.0847,7.8,14.21544580709314,830.5649623727313,1.7
10139,13.79,3070.4877791356516,0.0259,7.8,7.8,591.0,2.0
10140,7.03,3070.4877791356516,0.1854,8.589305208096429,9.5,1836.0,2.5
10141,6.89,1546.0,0.1234,12.7,42.3,2743.0,3.1
10142,10.635065510058652,2712.0,-0.034,23.6,23.6,1972.0,4.9
10143,0.1,340.0,-0.1392,15.0,120.0,830.5649623727313,8.1
10144,9.51,1519.0,-0.0158,12.7,42.3,1778.0,2.1
10145,13.79,2699.0,-0.1272,4.7,4.7,318.0,6.0
10146,13.79,1899.0,-0.15,8.589305208096429,11.1,457.0,3.4
10147,6.72,3070.4877791356516,0.0547,10.8,10.8,864.0,2.9
10149,10.635065510058652,679.0,-0.0137,5.0,14.21544580709314,2134.0,2.1
10151,13.79,4136.0,0.0436,4.6,4.6,295.0,3.3
10153,10.635065510058652,4064.0,0.0117,10.8,14.21544580709314,864.0,4.7
10154,13.79,1290.0,0.0334,7.7,14.21544580709314,830.5649623727313,2.1
10155,6.89,2278.0,0.1536,8.5,22.3,2743.0,1.5
10156,13.79,3070.4877791356516,-0.1756,8.589305208096429,14.21544580709314,457.0,3.9
10157,12.0,1000.0,0.0323,10.0,10.0,1650.0,4.0
10161,10.635065510058652,3052.0,0.0032,8.589305208096429,11.3,830.5649623727313,3.6
10162,6.86,3070.4877791356516,0.0518,8.589305208096429,5.6,432.0,2.3
10164,2.63,3070.4877791356516,0.0052,3.0,3.0,150.0,3.2
10165,13.79,2143.0,0.0305,7.8,7.8,591.0,2.8
10166,10.635065510058652,1944.0,-0.1488,8.589305208096429,10.0,660.0,4.1
10167,13.79,1655.0,0.0928,7.7,7.7,457.0,1.6
10168,3.45,3879.0,0.146,1.9,1.9,762.0,5.3
10169,13.79,1600.0,-0.1762,7.7,7.7,457.0,9.1
10171,9.68,835.0,0.1917,8.589305208096429,42.3,1778.0,2.0
10172,13.79,1355.0,-0.1556,8.589305208096429,15.2,2134.0,1.1
10174,13.79,1383.0,0.0226,7.7,14.21544580709314,457.0,2.2
10176,11.03,3674.0,0.0238,8.589305208096429,15.2,830.5649623727313,2.0
10177,6.89,5547.0,-0.0274,10.3,10.3,762.0,5.9
10178,11.03,3391.0,0.0613,11.5,11.5,914.0,2.5
10179,13.79,1246.0,0.064,8.589305208096429,14.21544580709314,830.5649623727313,2.3
10182,13.79,2740.0,-0.0202,7.7,14.21544580709314,457.0,2.9
10183,6.92,2306.0,0.0753,4.6,11.3,1778.0,2.9
10184,6.89,3070.4877791356516,0.1144,23.6,23.6,1972.0,2.3
10185,13.79,3811.0,0.072,4.6,4.6,295.0,7.9
10188,4.1,3974.0,0.0618,10.8,10.8,864.0,3.8
10189,10.635065510058652,3998.0,-0.0442,1.9,1.9,696.0,14.7
10190,13.79,2645.0,0.0948,7.7,7.7,457.0,1.9
10191,6.89,3070.4877791356516,0.1754,10.8,10.8,841.0,2.7
10192,13.79,2729.0,-0.0515,8.589305208096429,15.2,2134.0,5.3
10193,13.79,1354.0,0.1628,5.6,15.2,2134.0,1.7
10194,13.79,1336.0,0.0145,7.7,7.7,457.0,2.7
10195,15.51,1344.0,0.1867,5.6,14.21544580709314,2134.0,2.3
10196,15.51,3070.4877791356516,-0.0123,1.9,1.9,152.0,4.0
10197,10.635065510058652,2184.0,-0.0296,1.9,1.9,152.0,2.3
10198,9.65,1519.0,0.0886,8.589305208096429,42.3,1778.0,2.0
10200,10.635065510058652,4679.0,-0.0805,4.7,4.7,318.0,5.6
10202,4.16,2278.0,-0.0719,12.7,42.3,1778.0,2.2
10207,13.79,3070.4877791356516,0.0713,8.589305208096429,4.6,295.0,6.8
10208,4.96,4078.0,0.0068,8.589305208096429,14.21544580709314,432.0,4.6
10211,13.79,1994.0,0.1597,11.1,11.1,457.0,1.9
10212,6.83,4062.0,0.0637,8.589305208096429,10.8,432.0,4.2
10213,12.07,5452.0,-0.0518,1.9,1.9,152.0,1.7
10214,13.79,2760.0,0.0865,4.7,4.7,305.0,3.0
10215,13.79,3174.0,-0.0443,1.9,1.9,696.0,2.1
10220,4.13,1409.0,0.1517,8.589305208096429,42.3,1778.0,2.8
10222,13.79,7975.0,-0.112,4.7,4.7,318.0,3.9
10223,6.86,4069.0,0.0907,10.8,10.8,830.5649623727313,3.4
10226,13.79,1465.0,-0.3263,4.7,4.7,318.0,2.8
10227,10.635065510058652,3070.4877791356516,0.0733,7.8,7.8,591.0,1.9
10228,15.51,3070.4877791356516,-0.0195,1.9,1.9,152.0,4.1
10229,13.79,956.0,0.0088,7.7,7.7,457.0,2.7
10230,6.89,6998.0,-0.0677,10.3,14.21544580709314,762.0,3.7
10232,16.0,2875.0,0.0311,10.0,10.0,1650.0,1.8
10233,12.07,4042.0,-0.0364,1.9,1.9,696.0,2.5
10237,13.79,3052.0,0.0279,8.589305208096429,7.8,591.0,4.0
10238,13.79,956.0,0.023,7.7,7.7,457.0,1.9
10239,15.17,1356.0,0.1184,9.5,9.5,1836.0,1.4
10240,13.79,888.0,0.0985,7.8,7.8,591.0,2.3
10242,6.89,3811.0,0.0049,10.8,14.21544580709314,216.0,6.2
10246,13.79,2676.0,0.064,9.5,9.5,1836.0,3.4
10248,6.89,3070.4877791356516,-0.0037,8.589305208096429,15.9,914.0,4.3
10249,3.45,6998.0,0.0825,10.3,10.3,762.0,4.2
10250,6.89,6998.0,-0.0497,5.7,5.7,625.0,7.7
10251,13.79,1290.0,-0.0375,7.7,7.7,457.0,3.6
10252,6.89,7785.0,-0.0417,10.3,10.3,830.5649623727313,4.9
10253,8.27,1214.0,-0.8667,3.6,3.6,76.0,3.4
10254,13.79,1354.0,0.1712,5.6,15.2,2134.0,1.8
10256,10.34,7920.0,-0.1965,10.3,10.3,762.0,7.9
10258,10.635065510058652,3635.0,0.0682,8.589305208096429,14.21544580709314,830.5649623727313,3.4
10259,7.0,1763.0,-0.0237,10.8,10.8,864.0,4.5
10260,6.89,6998.0,-0.0466,10.3,10.3,830.5649623727313,6.0
10263,13.79,1383.0,0.1401,7.7,14.21544580709314,830.5649623727313,1.8
10264,13.79,3070.4877791356516,0.0238,7.7,7.7,457.0,1.8
10265,13.79,1356.0,-0.1212,8.589305208096429,7.7,457.0,2.7
10266,13.79,4001.0,-0.0336,8.589305208096429,11.1,457.0,3.9
10268,6.89,4069.0,-0.0629,8.589305208096429,23.6,610.0,6.0
10269,3.45,4136.0,0.0902,5.6,5.6,432.0,2.7
10270,6.86,4096.0,-0.0134,10.8,14.21544580709314,830.5649623727313,5.4
10272,18.96,1831.0,-0.363,1.9,1.9,152.0,1.8
10273,17.24,2319.0,-0.1141,1.9,14.21544580709314,830.5649623727313,3.9
10279,13.79,1352.0,0.0238,8.589305208096429,7.8,591.0,2.7
10281,6.89,3070.4877791356516,0.0214,8.589305208096429,14.21544580709314,762.0,4.9
10282,10.635065510058652,2034.0,0.0334,10.8,14.21544580709314,432.0,4.3
10283,18.27,2875.0,-0.1258,3.0,3.0,35.0,3.7
10284,6.89,4096.0,0.1133,10.8,10.8,830.5649623727313,2.5
10285,6.89,4042.0,0.0143,8.589305208096429,10.8,864.0,4.0
10287,6.84,4001.0,0.0611,6.4,15.9,914.0,2.7
10288,13.79,3070.4877791356516,0.1584,7.8,7.8,591.0,2.8
10289,13.79,1410.0,0.0983,8.589305208096429,14.21544580709314,591.0,2.6
10290,13.79,3770.0,-0.0277,4.7,4.7,318.0,5.1
10291,6.79,3580.0,-0.0178,10.8,10.8,432.0,4.6
10292,13.79,2590.0,0.0334,7.7,7.7,830.5649623727313,1.4
10293,6.93,4066.0,0.0769,10.8,10.8,1727.0,2.6
10294,13.79,1356.0,0.05,7.7,7.7,457.0,1.0
10295,10.635065510058652,3070.4877791356516,0.0847,12.7,42.3,2743.0,1.9
10298,7.0,3770.0,0.1352,10.8,14.21544580709314,830.5649623727313,2.3
10299,6.89,3811.0,0.0802,23.6,14.21544580709314,1972.0,3.0
10300,2.63,2455.0,0.1332,8.589305208096429,1.1,830.5649623727313,4.0
10304,10.635065510058652,3906.0,0.1447,8.589305208096429,10.3,830.5649623727313,4.0
10307,15.51,3070.4877791356516,0.0253,5.6,15.2,2134.0,1.9
10308,15.17,4071.0,-0.1491,8.589305208096429,14.21544580709314,1836.0,8.2
10309,13.79,2729.0,0.1848,5.6,15.2,2134.0,1.8
10310,6.89,3933.0,-0.0428,10.3,14.21544580709314,762.0,6.7
10314,11.03,3391.0,0.0426,11.5,14.21544580709314,914.0,3.9
10315,3.45,6618.0,-0.0596,10.3,10.3,762.0,6.7
10318,6.79,3784.0,-0.0008,8.589305208096429,4.7,830.5649623727313,4.8
10320,13.79,956.0,-0.1341,7.7,7.7,457.0,3.3
10322,13.79,1383.0,0.0747,8.589305208096429,7.8,591.0,2.2
10324,13.79,2401.0,-0.0779,1.9,1.9,152.0,2.0
10328,18.0,4028.0,0.0472,10.0,10.0,1650.0,2.7
10330,11.03,1355.0,-0.015,5.6,15.2,2134.0,2.1
10332,10.635065510058652,7107.0,0.0753,4.7,4.7,318.0,1.9
10333,6.89,5588.0,0.0381,8.589305208096429,15.9,830.5649623727313,3.1
10335,10.635065510058652,4001.0,-0.0297,10.3,10.3,830.5649623727313,4.2
10338,18.27,3070.4877791356516,-0.0975,10.8,10.8,150.0,3.8
10340,13.79,1286.0,0.0731,7.8,7.8,591.0,2.0
10341,17.24,3070.4877791356516,-0.0008,8.589305208096429,1.9,152.0,2.6
10342,13.79,1351.0,0.1743,8.589305208096429,15.2,2134.0,1.3
10343,6.89,1912.0,0.0241,37.5,37.5,1953.0,3.7
10344,13.79,3070.4877791356516,0.0852,7.7,7.7,830.5649623727313,1.8
10345,10.34,5913.0,-0.0591,10.3,10.3,830.5649623727313,3.2
10346,13.79,6022.0,-0.3491,4.7,4.7,318.0,5.3
10347,6.89,2712.0,0.0088,4.6,14.21544580709314,1778.0,9.1
10350,11.03,3070.4877791356516,0.0643,13.3,13.3,2134.0,2.0
10351,6.89,5438.0,0.0724,12.8,14.21544580709314,1930.0,2.9
10352,13.79,3133.0,-0.0331,8.589305208096429,1.9,152.0,3.5
10353,6.89,5995.0,-0.0497,10.3,10.3,762.0,5.0
10354,6.89,3811.0,0.1178,12.8,12.8,1930.0,2.0
10355,8.89,4069.0,0.0406,11.5,11.5,1524.0,1.9
10356,13.79,705.0,-0.1331,8.589305208096429,7.7,457.0,3.0
10357,6.89,3070.4877791356516,-0.0416,10.3,10.3,762.0,3.8
10358,6.89,3825.0,0.0196,8.589305208096429,23.6,610.0,3.3
10359,13.79,3070.4877791356516,0.1743,8.589305208096429,14.21544580709314,830.5649623727313,2.2
10360,10.635065510058652,1912.0,-0.0303,37.5,37.5,830.5649623727313,3.8
10361,13.79,1260.0,0.0825,7.8,7.8,830.5649623727313,2.3
10362,10.34,5940.0,-0.1438,10.3,10.3,762.0,4.6
10363,10.635065510058652,7432.0,-0.0515,10.3,10.3,762.0,4.8
10364,10.635065510058652,2604.0,-0.0537,1.9,1.9,152.0,4.3
10365,6.76,4055.0,0.1354,10.8,10.8,830.5649623727313,2.9
10366,6.89,7731.0,-0.0591,10.3,10.3,762.0,4.6
10367,13.79,4164.0,0.0763,4.7,14.21544580709314,318.0,3.2
10369,11.03,4069.0,-0.044,11.5,11.5,1524.0,9.0
10370,6.89,3070.4877791356516,0.1101,4.7,4.7,318.0,4.9
10371,13.79,694.0,0.0334,7.7,7.7,830.5649623727313,2.6
10373,13.79,2007.0,0.1476,8.589305208096429,7.7,830.5649623727313,2.2
10375,4.13,1519.0,0.0667,8.589305208096429,42.3,1778.0,2.4
10376,12.07,2306.0,-0.0202,1.9,1.9,152.0,2.3
10377,17.24,2821.0,-0.0858,1.9,1.9,696.0,3.7
10378,13.79,1063.0,0.0001,4.7,4.7,318.0,3.8
10379,9.65,5600.0,-0.0037,8.589305208096429,15.9,914.0,6.8
10381,13.79,1316.0,-0.1046,8.589305208096429,1.9,152.0,3.9
10382,10.635065510058652,2021.0,0.0989,8.589305208096429,11.5,1143.0,2.2
10383,13.79,1355.0,0.1622,5.6,15.2,2134.0,1.3
10385,18.96,2061.0,-0.0853,8.589305208096429,1.9,152.0,3.7
10386,13.79,2061.0,0.0908,7.8,7.8,591.0,3.2
10388,6.79,3838.0,0.0129,10.8,10.8,864.0,3.8
10389,10.635065510058652,678.0,-0.0229,4.7,4.7,318.0,3.9
10390,11.03,2698.0,0.0886,5.0,13.3,2134.0,1.2
10392,13.79,3070.4877791356516,-0.3201,7.7,7.7,457.0,1.5
10393,10.34,5913.0,-0.0483,10.3,10.3,830.5649623727313,5.5
10394,13.79,1668.0,0.0886,7.7,7.7,457.0,2.2
10395,15.51,2156.0,-0.0298,1.9,14.21544580709314,152.0,3.9
10397,13.79,5574.0,0.0674,4.7,4.7,305.0,2.6
10398,6.92,4062.0,0.0797,12.7,38.1,914.0,1.5
10399,11.0,2034.0,0.0585,11.5,11.5,830.5649623727313,3.2
10400,12.0,3070.4877791356516,-0.03,8.589305208096429,10.0,1000.0,4.7
10401,13.79,5289.0,-0.1965,7.7,7.7,457.0,9.3
10402,10.34,3070.4877791356516,-0.0987,10.3,10.3,830.5649623727313,4.4
10403,18.96,1980.0,0.0893,1.9,1.9,696.0,3.5
10404,3.93,4069.0,0.0111,10.8,14.21544580709314,432.0,4.9
10406,13.79,4964.0,-0.1258,4.7,4.7,318.0,6.0
10407,10.635065510058652,3070.4877791356516,0.099,9.5,9.5,1836.0,1.9
10408,11.03,2731.0,-0.0135,5.6,15.2,2134.0,2.1
10410,2.63,1804.0,-0.0603,1.9,1.9,696.0,3.2
10412,15.17,3070.4877791356516,-0.0373,9.5,9.5,1836.0,5.5
10413,3.9,4136.0,0.1282,5.6,5.6,432.0,3.2
10414,10.635065510058652,3960.0,-0.0202,5.7,5.7,625.0,2.7
10415,18.27,1214.0,-0.8667,3.0,3.0,35.0,2.5
10416,13.79,4787.0,-0.0595,4.7,4.7,318.0,3.9
10418,13.79,3933.0,0.1434,1.9,1.9,152.0,4.4
10421,18.0,1356.0,0.08,10.0,10.0,1300.0,1.8
10423,13.79,1233.0,0.0675,7.8,7.8,591.0,2.3
10424,13.79,1345.0,0.14,9.5,9.5,830.5649623727313,2.7
10425,13.79,1351.0,0.0334,7.8,7.8,591.0,2.9
10426,3.45,3070.4877791356516,-0.0669,3.6,3.6,64.0,7.9
10427,7.03,4062.0,0.0833,8.589305208096429,10.8,864.0,2.8
10429,10.635065510058652,5615.0,0.0642,6.4,14.21544580709314,914.0,1.9
10430,10.635065510058652,4986.0,-0.0424,10.0,10.0,565.0,7.2
10431,10.635065510058652,4123.0,-0.0252,1.9,1.9,696.0,2.3
10434,13.79,1926.0,0.0334,7.7,7.7,457.0,2.2
10436,13.79,3635.0,-0.0195,1.9,1.9,152.0,4.7
10438,13.79,1078.0,0.0863,4.7,4.7,318.0,2.6
10439,13.79,1682.0,0.0108,7.7,7.7,457.0,2.0
10440,10.635065510058652,5425.0,-0.2293,10.3,10.3,762.0,5.7
10441,13.79,2007.0,0.134,7.7,7.7,457.0,1.6
10442,13.79,3070.4877791356516,0.0675,8.589305208096429,7.8,591.0,2.3
10443,1.01,2000.0,-0.0434,8.589305208096429,120.0,10.0,3.8
10444,15.51,5588.0,-0.0204,1.9,1.9,152.0,5.2
10445,18.27,861.0,-0.1356,3.0,3.0,830.5649623727313,2.3
10447,13.79,3662.0,-0.1335,1.9,14.21544580709314,696.0,3.2
10448,9.65,1519.0,0.0093,12.7,42.3,1778.0,4.7
10449,13.79,1370.0,0.0823,7.7,7.7,457.0,2.3
10451,6.89,1519.0,0.1016,8.5,22.3,2743.0,3.1
10453,13.79,1600.0,-0.159,7.7,7.7,457.0,3.6
10454,15.51,3662.0,-0.0313,1.9,1.9,696.0,2.1
10455,13.79,1492.0,0.0049,3.6,3.6,76.0,3.3
10456,11.0,4069.0,0.0649,11.5,11.5,914.0,1.9
10457,10.34,3947.0,0.064,8.589305208096429,10.3,762.0,6.6
10458,13.79,5696.0,0.1433,4.7,4.7,830.5649623727313,2.5
10459,10.635065510058652,4092.0,0.0902,9.5,14.21544580709314,1836.0,0.8
10460,13.79,4136.0,0.0776,3.6,3.6,76.0,3.8
10461,10.34,6049.0,-0.0653,8.589305208096429,14.21544580709314,762.0,5.9
10465,10.635065510058652,5561.0,-0.0298,12.7,14.21544580709314,914.0,4.0
10466,0.1,3070.4877791356516,-0.0849,15.0,120.0,10.0,8.2
10467,6.79,3838.0,0.0379,10.8,10.8,432.0,4.3
10468,9.68,4069.0,0.1074,11.5,11.5,1727.0,2.5
10469,15.17,2684.0,0.1383,9.5,9.5,1836.0,1.8
10470,9.65,3070.4877791356516,-0.0037,12.7,38.1,914.0,3.2
10471,10.34,7893.0,-0.0682,10.3,10.3,762.0,3.9
10472,15.17,4062.0,-0.0158,8.589305208096429,9.5,1836.0,2.3
10473,6.89,2807.0,0.0003,6.4,15.9,914.0,2.8
10474,6.89,5588.0,0.1167,8.5,24.6,1778.0,2.0
10475,17.24,3499.0,-0.0573,8.589305208096429,1.9,696.0,3.4
10476,10.635065510058652,1356.0,-0.1334,7.7,7.7,830.5649623727313,1.6
10479,12.0,1000.0,-0.0187,10.0,10.0,890.0,4.1
10482,6.89,1165.0,0.0297,12.7,14.21544580709314,2743.0,1.9
10483,10.34,3947.0,-0.0229,10.3,10.3,762.0,5.3
10484,13.79,666.0,-0.0222,7.7,7.7,457.0,6.5
10486,8.27,3070.4877791356516,0.087,5.6,15.2,2134.0,1.9
10489,10.635065510058652,2631.0,0.1312,4.6,4.6,229.0,3.4
10493,6.86,4056.0,0.0043,10.8,10.8,864.0,4.2
10494,10.635065510058652,1316.0,-0.3246,5.7,14.21544580709314,625.0,4.0
10496,13.79,3070.4877791356516,0.0721,5.6,15.2,2134.0,2.5
10497,10.34,7554.0,-0.0412,8.589305208096429,10.3,830.5649623727313,3.2
10498,8.27,4096.0,-0.0411,8.589305208096429,10.8,864.0,12.8
10500,13.79,1272.0,0.0868,7.8,7.8,591.0,2.0
10501,0.91,1944.0,-0.0881,1.9,1.9,152.0,5.2
10502,13.79,2645.0,0.0145,7.7,7.7,457.0,1.8
10503,10.0,4028.0,-0.0596,10.0,10.0,400.0,7.4
10504,6.89,3391.0,0.0156,11.5,11.5,914.0,3.7
10505,15.51,3024.0,-0.0385,1.9,14.21544580709314,152.0,4.3
10507,6.89,3070.4877791356516,0.1482,12.7,42.3,2743.0,2.9
10508,6.83,4096.0,0.0005,10.8,10.8,864.0,4.6
10511,13.79,5289.0,-0.1182,5.7,5.7,625.0,8.0
10512,6.89,1519.0,0.1203,12.7,14.21544580709314,1778.0,1.6
10513,3.9,4056.0,0.0136,10.8,10.8,432.0,10.8
10514,12.07,3920.0,-0.0571,1.9,1.9,830.5649623727313,2.7
10516,13.79,1290.0,0.0884,7.7,7.7,457.0,2.3
10517,13.79,1383.0,0.1714,7.8,14.21544580709314,591.0,2.4
10519,10.34,7893.0,-0.0349,10.3,14.21544580709314,762.0,7.6
10520,10.635065510058652,2699.0,-0.0668,7.7,7.7,830.5649623727313,12.7
10521,13.79,1682.0,-0.0858,7.7,7.7,457.0,2.2
